Warona Klaas | operation insert count 0 | operation find count = 15
Lubanzi Nkuna | operation insert count 1 | operation find count = 3
Alunamda Khoza | operation insert count 1 | operation find count = 3
Reneilwe Williams | operation insert count 2 | operation find count = 15
Kungawo Ndou | operation insert count 2 | operation find count = 11
Amogelang Baloyi | operation insert count 2 | operation find count = 11
Sphesihle Klaas | operation insert count 4 | operation find count = 13
Karabo Jacobs | operation insert count 3 | operation find count = 21
Luke Moloi | operation insert count 3 | operation find count = 1
Omaatla Ngcobo | operation insert count 3 | operation find count = 19
Lesedi Molefe | operation insert count 4 | operation find count = 19
Ava Petersen | operation insert count 4 | operation find count = 7
Reneilwe Tshabalala | operation insert count 5 | operation find count = 7
Siyabonga Motaung | operation insert count 3 | operation find count = 13
Bokamoso Ndlovu | operation insert count 4 | operation find count = 15
Aphelele Olyn | operation insert count 4 | operation find count = 17
Katlego Nkuna | operation insert count 4 | operation find count = 21
Reneilwe Nkosi | operation insert count 5 | operation find count = 17
Sphesihle Klaas | operation insert count 4 | operation find count = 13
Omaatla Klaas | operation insert count 5 | operation find count = 23
Bokang Ngwenya | operation insert count 4 | operation find count = 9
Omphile Dyantyi | operation insert count 5 | operation find count = 7
Hlelokuhle Shabangu | operation insert count 4 | operation find count = 5
Olothando Klaas | operation insert count 5 | operation find count = 19
Likuwe Dyantyi | operation insert count 5 | operation find count = 13
Esihle Ngcobo | operation insert count 4 | operation find count = 11
Lethabo Booysen | operation insert count 6 | operation find count = 11
Ofentse Sithole | operation insert count 5 | operation find count = 13
Junior Radebe | operation insert count 4 | operation find count = 13
Likuwe Petersen | operation insert count 5 | operation find count = 21
Omaatla Khoza | operation insert count 6 | operation find count = 15
Mia Radebe | operation insert count 5 | operation find count = 17
Luphawu Beukes | operation insert count 6 | operation find count = 13
Naledi Witbooi | operation insert count 9 | operation find count = 17
Lisakhanya Booysen | operation insert count 12 | operation find count = 21
Lethabo Mogale | operation insert count 6 | operation find count = 23
Olothando Booysen | operation insert count 6 | operation find count = 13
Othalive Modise | operation insert count 6 | operation find count = 9
Kamohelo Nhlapo | operation insert count 4 | operation find count = 11
Philasande Nkosi | operation insert count 5 | operation find count = 11
Angel Hendricks | operation insert count 5 | operation find count = 17
Lethokuhle Motaung | operation insert count 5 | operation find count = 5
Onthatile Beukes | operation insert count 5 | operation find count = 15
Sphesihle Maseko | operation insert count 6 | operation find count = 9
Luke Shabangu | operation insert count 5 | operation find count = 15
Warona Nkuna | operation insert count 7 | operation find count = 13
Lethokuhle Klaas | operation insert count 6 | operation find count = 19
Iminathi Moeng | operation insert count 7 | operation find count = 21
Noah Visagie | operation insert count 5 | operation find count = 9
Luphawu Mathebula | operation insert count 7 | operation find count = 15
Amahle Mosia | operation insert count 10 | operation find count = 21
Jayden Witbooi | operation insert count 6 | operation find count = 17
Banele Petersen | operation insert count 6 | operation find count = 21
Blessing Mogale | operation insert count 7 | operation find count = 5
Reatlegile Jacobs | operation insert count 5 | operation find count = 9
Lethokuhle Nkosi | operation insert count 6 | operation find count = 9
Luthando Williams | operation insert count 5 | operation find count = 11
Caleb Visagie | operation insert count 5 | operation find count = 15
Luthando Jacobs | operation insert count 6 | operation find count = 15
Lingomso Mudau | operation insert count 7 | operation find count = 15
Enzokuhle Booi | operation insert count 6 | operation find count = 7
Sphesihle Madikizela | operation insert count 7 | operation find count = 23
Elijah Mkhize | operation insert count 7 | operation find count = 11
Letlotlo Tsotetsi | operation insert count 6 | operation find count = 13
Hlelokuhle Khumalo | operation insert count 5 | operation find count = 13
Noah Visagie | operation insert count 5 | operation find count = 9
Isabella Sithole | operation insert count 6 | operation find count = 9
Bokamoso Moeng | operation insert count 6 | operation find count = 13
Siyabonga Mohlala | operation insert count 7 | operation find count = 19
Warona Ndou | operation insert count 6 | operation find count = 15
Bokamoso Williams | operation insert count 5 | operation find count = 21
Tshegofatso Buthelezi | operation insert count 7 | operation find count = 19
Liam Davids | operation insert count 6 | operation find count = 19
Thato Peter | operation insert count 6 | operation find count = 9
Bokang Dlamini | operation insert count 7 | operation find count = 5
Othalive Booysen | operation insert count 7 | operation find count = 19
Bandile Nkosi | operation insert count 7 | operation find count = 11
Omolemo Abrahams | operation insert count 7 | operation find count = 19
Onthatile Maluleke | operation insert count 7 | operation find count = 9
Othalive Jack | operation insert count 6 | operation find count = 11
Hlelokuhle Olyn | operation insert count 8 | operation find count = 7
Onthatile Maluleke | operation insert count 8 | operation find count = 17
Khayone Maluleke | operation insert count 8 | operation find count = 19
Asemahle Witbooi | operation insert count 6 | operation find count = 17
Luphawu Booysen | operation insert count 7 | operation find count = 15
Reatlegile Baloyi | operation insert count 7 | operation find count = 9
Likuwe Mofokeng | operation insert count 7 | operation find count = 13
Relebohile Booi | operation insert count 7 | operation find count = 13
Naledi Davids | operation insert count 6 | operation find count = 17
Othalive Cloete | operation insert count 6 | operation find count = 13
Joshua Malatji | operation insert count 7 | operation find count = 15
Oratile Baloyi | operation insert count 8 | operation find count = 21
Thato Jacobs | operation insert count 7 | operation find count = 15
Asemahle Adams | operation insert count 6 | operation find count = 13
Lingomso Ndlovu | operation insert count 6 | operation find count = 11
Omaatla Mofokeng | operation insert count 8 | operation find count = 15
Lethokuhle Ngwenya | operation insert count 6 | operation find count = 19
Omolemo Malatji | operation insert count 8 | operation find count = 11
Nkosenhle Petersen | operation insert count 7 | operation find count = 15
Omaatla Malatji | operation insert count 12 | operation find count = 21
Tshegofatso Booi | operation insert count 8 | operation find count = 17
Reatlegile Mogale | operation insert count 8 | operation find count = 13
Melokuhle Van | operation insert count 6 | operation find count = 13
Katleho Baloyi | operation insert count 8 | operation find count = 13
Remofilwe Moloi | operation insert count 7 | operation find count = 15
Elijah Dyantyi | operation insert count 6 | operation find count = 23
Kamogelo Sithole | operation insert count 7 | operation find count = 17
Bonolo Ndou | operation insert count 10 | operation find count = 15
Katleho Moeng | operation insert count 7 | operation find count = 17
Banele Motaung | operation insert count 6 | operation find count = 13
Leah Davids | operation insert count 7 | operation find count = 11
Relebohile Daniels | operation insert count 7 | operation find count = 9
Oratilwe Louw | operation insert count 8 | operation find count = 19
Relebohile Shabangu | operation insert count 7 | operation find count = 13
Karabo Sithole | operation insert count 8 | operation find count = 15
Luthando Modise | operation insert count 7 | operation find count = 15
Alwande Hendricks | operation insert count 7 | operation find count = 15
Reatlegile Mudau | operation insert count 7 | operation find count = 17
Olothando Mahlangu | operation insert count 7 | operation find count = 9
Enzokuhle Motaung | operation insert count 6 | operation find count = 15
Omphile Van | operation insert count 8 | operation find count = 17
Blessing Hendricks | operation insert count 7 | operation find count = 11
Okuhle Williams | operation insert count 6 | operation find count = 21
Omphile Mnisi | operation insert count 7 | operation find count = 15
Lubanzi Moloi | operation insert count 9 | operation find count = 19
Bokamoso Mathebula | operation insert count 6 | operation find count = 11
Kamogelo Nhlapo | operation insert count 11 | operation find count = 19
Ofentse Booi | operation insert count 8 | operation find count = 17
Oratile Malatji | operation insert count 11 | operation find count = 19
Othalive Hendricks | operation insert count 8 | operation find count = 19
Lingomso Shabangu | operation insert count 7 | operation find count = 19
Khayone Moloi | operation insert count 7 | operation find count = 15
Lisakhanya Mathebula | operation insert count 7 | operation find count = 7
Alwande Chauke | operation insert count 7 | operation find count = 9
Katleho Baloyi | operation insert count 8 | operation find count = 21
Likuwe Mahlangu | operation insert count 8 | operation find count = 13
Olothando Mahlangu | operation insert count 7 | operation find count = 9
Lingomso Nkosi | operation insert count 8 | operation find count = 19
Phenyo Moeng | operation insert count 7 | operation find count = 19
Reatlegile Mogale | operation insert count 8 | operation find count = 13
Alunamda Tsotetsi | operation insert count 10 | operation find count = 21
Okuhle Gumede | operation insert count 8 | operation find count = 13
Luphawu Booysen | operation insert count 7 | operation find count = 15
Omolemo Beukes | operation insert count 8 | operation find count = 19
Amogelang Baloyi | operation insert count 8 | operation find count = 19
Tshegofatso Dyantyi | operation insert count 8 | operation find count = 19
Lingomso Mohlala | operation insert count 8 | operation find count = 21
Luthando Shabangu | operation insert count 8 | operation find count = 21
Phenyo Davids | operation insert count 7 | operation find count = 15
Omphile Moloi | operation insert count 7 | operation find count = 17
Reneilwe Mudau | operation insert count 8 | operation find count = 11
Lethabo Nhlapo | operation insert count 7 | operation find count = 17
Olothando Dlamini | operation insert count 7 | operation find count = 17
Bandile Mahlangu | operation insert count 8 | operation find count = 15
Ofentse Nkosi | operation insert count 12 | operation find count = 21
Bokamoso Radebe | operation insert count 6 | operation find count = 21
Banele Khoza | operation insert count 6 | operation find count = 15
Katlego Mohlala | operation insert count 8 | operation find count = 17
Bonolo Mosia | operation insert count 8 | operation find count = 15
Lwandle Mokoena | operation insert count 7 | operation find count = 7
Mia Nkosi | operation insert count 8 | operation find count = 13
Noah Beukes | operation insert count 7 | operation find count = 17
Jayden Moeng | operation insert count 7 | operation find count = 21
Jayden Nkosi | operation insert count 6 | operation find count = 21
Kamogelo Modise | operation insert count 8 | operation find count = 13
Iminathi Ndou | operation insert count 7 | operation find count = 21
Naledi Tshabalala | operation insert count 7 | operation find count = 15
Emihle Mofokeng | operation insert count 8 | operation find count = 15
Banele Mosia | operation insert count 8 | operation find count = 21
Warona Nkuna | operation insert count 7 | operation find count = 13
Karabo Modise | operation insert count 8 | operation find count = 21
Noah Maluleke | operation insert count 8 | operation find count = 17
Omphile Klaas | operation insert count 8 | operation find count = 17
Melokuhle Dlamini | operation insert count 8 | operation find count = 23
Alunamda Shabangu | operation insert count 7 | operation find count = 13
Isabella Mokoena | operation insert count 8 | operation find count = 19
Jayden Mosia | operation insert count 8 | operation find count = 17
Oratilwe Mahlangu | operation insert count 8 | operation find count = 19
Amogelang Van | operation insert count 7 | operation find count = 11
Lingomso Shabangu | operation insert count 7 | operation find count = 23
Kungawo Maluleke | operation insert count 8 | operation find count = 13
Philasande Moeng | operation insert count 7 | operation find count = 11
Ayabonga Sithole | operation insert count 7 | operation find count = 15
Phenyo Williams | operation insert count 8 | operation find count = 17
Katlego Buthelezi | operation insert count 10 | operation find count = 19
Reneilwe Williams | operation insert count 2 | operation find count = 15
Okuhle Hendricks | operation insert count 8 | operation find count = 19
Katleho Khoza | operation insert count 8 | operation find count = 15
Jayden Malatji | operation insert count 8 | operation find count = 23
Banele Davids | operation insert count 9 | operation find count = 15
Amohelang Beukes | operation insert count 7 | operation find count = 19
Ofentse Mahlangu | operation insert count 7 | operation find count = 19
Kungawo Olyn | operation insert count 7 | operation find count = 17
Amogelang Dlamini | operation insert count 8 | operation find count = 15
Amohelang Cloete | operation insert count 9 | operation find count = 19
Letlotlo Jack | operation insert count 8 | operation find count = 15
Amohelang Molefe | operation insert count 8 | operation find count = 17
Reatlegile Ngobeni | operation insert count 7 | operation find count = 17
Lubanzi Mosia | operation insert count 8 | operation find count = 19
Bonolo Davids | operation insert count 8 | operation find count = 13
Lwandle Ngwenya | operation insert count 8 | operation find count = 13
Nkosenhle Jacobs | operation insert count 8 | operation find count = 17
Leano Ndlovu | operation insert count 7 | operation find count = 19
Kungawo Daniels | operation insert count 8 | operation find count = 19
Rorisang Mkhize | operation insert count 9 | operation find count = 13
Tshegofatso Jack | operation insert count 8 | operation find count = 21
Rethabile Davids | operation insert count 8 | operation find count = 25
