Okuhle Booysen | operation insert count 0 | operation find count = 5
Leano Peter | operation insert count 1 | operation find count = 7
Lesedi Ngwenya | operation insert count 2 | operation find count = 19
Omaatla Baloyi | operation insert count 2 | operation find count = 9
Leah Petersen | operation insert count 2 | operation find count = 21
Olerato Ngwenya | operation insert count 11 | operation find count = 21
Alunamda Witbooi | operation insert count 3 | operation find count = 15
Leano Adams | operation insert count 2 | operation find count = 21
Amogelang Daniels | operation insert count 3 | operation find count = 3
Khayone Mathebula | operation insert count 13 | operation find count = 23
Oratilwe Abrahams | operation insert count 3 | operation find count = 7
Phenyo Nhlapo | operation insert count 3 | operation find count = 9
Siyabonga Shabangu | operation insert count 4 | operation find count = 5
Phenyo Motaung | operation insert count 4 | operation find count = 11
Amogelang Nkosi | operation insert count 4 | operation find count = 11
Bokamoso Mathebula | operation insert count 4 | operation find count = 7
Rethabile Baloyi | operation insert count 4 | operation find count = 17
Enzokuhle Nhlapo | operation insert count 4 | operation find count = 21
Hlelokuhle Mudau | operation insert count 5 | operation find count = 1
Mpho Chauke | operation insert count 5 | operation find count = 9
Siphesihle Moloi | operation insert count 4 | operation find count = 17
Esihle Ndou | operation insert count 5 | operation find count = 3
Likuwe Dyantyi | operation insert count 4 | operation find count = 23
Reneilwe Motaung | operation insert count 5 | operation find count = 17
Banele Nhlapo | operation insert count 5 | operation find count = 13
Letlotlo Witbooi | operation insert count 11 | operation find count = 21
Omphile Olyn | operation insert count 5 | operation find count = 9
Reatlegile Booi | operation insert count 5 | operation find count = 13
Luthando Dyantyi | operation insert count 6 | operation find count = 19
Bokang Ngwenya | operation insert count 5 | operation find count = 23
Lebogang Maseko | operation insert count 5 | operation find count = 11
Melokuhle Mogale | operation insert count 5 | operation find count = 9
Siyabonga Madikizela | operation insert count 6 | operation find count = 25
Thato Peter | operation insert count 5 | operation find count = 9
Karabo Dyantyi | operation insert count 5 | operation find count = 7
Lesedi Molefe | operation insert count 5 | operation find count = 9
Lesedi Ngcobo | operation insert count 5 | operation find count = 21
Asemahle Jacobs | operation insert count 5 | operation find count = 5
Lingomso Mudau | operation insert count 5 | operation find count = 15
Enzokuhle Williams | operation insert count 5 | operation find count = 13
Karabo Mahlangu | operation insert count 12 | operation find count = 17
Ofentse Van | operation insert count 6 | operation find count = 15
Amohelang Ndou | operation insert count 6 | operation find count = 19
Kamohelo Mofokeng | operation insert count 6 | operation find count = 19
Ofentse Klaas | operation insert count 6 | operation find count = 15
Angel Abrahams | operation insert count 5 | operation find count = 13
Omaatla Visagie | operation insert count 6 | operation find count = 9
Noah Peter | operation insert count 5 | operation find count = 19
Karabo Moeng | operation insert count 6 | operation find count = 5
Lesedi Maluleke | operation insert count 6 | operation find count = 13
Othalive Petersen | operation insert count 5 | operation find count = 15
Thato Madikizela | operation insert count 6 | operation find count = 11
Isabella Motaung | operation insert count 6 | operation find count = 23
Junior Adams | operation insert count 5 | operation find count = 11
Iminathi Mogale | operation insert count 7 | operation find count = 15
Omaatla Mahlangu | operation insert count 6 | operation find count = 13
Katleho Klaas | operation insert count 7 | operation find count = 7
Mia Ngobeni | operation insert count 11 | operation find count = 23
Liam Nkuna | operation insert count 5 | operation find count = 23
Lingomso Motloung | operation insert count 7 | operation find count = 19
Aphelele Tsotetsi | operation insert count 6 | operation find count = 7
Bokang Modise | operation insert count 7 | operation find count = 17
Esihle Smith | operation insert count 6 | operation find count = 17
Iminathi Cloete | operation insert count 5 | operation find count = 7
Likuwe Molefe | operation insert count 7 | operation find count = 21
Enzokuhle Smith | operation insert count 6 | operation find count = 15
Bayanda Maluleke | operation insert count 10 | operation find count = 17
Angel Ngobeni | operation insert count 10 | operation find count = 23
Iminathi Sithole | operation insert count 6 | operation find count = 21
Nkosenhle Jack | operation insert count 7 | operation find count = 9
Esihle Davids | operation insert count 7 | operation find count = 17
Amahle Radebe | operation insert count 13 | operation find count = 23
Letlotlo Tsotetsi | operation insert count 14 | operation find count = 21
Leano Klaas | operation insert count 6 | operation find count = 23
Katleho Motloung | operation insert count 7 | operation find count = 15
Junior Visagie | operation insert count 6 | operation find count = 17
Luthando Ngobeni | operation insert count 7 | operation find count = 13
Hlelokuhle Hendricks | operation insert count 6 | operation find count = 19
Sphesihle Mosia | operation insert count 11 | operation find count = 21
Relebohile Mthembu | operation insert count 7 | operation find count = 13
Lesedi Hendricks | operation insert count 7 | operation find count = 13
Jayden Gumede | operation insert count 7 | operation find count = 15
Siphesihle Visagie | operation insert count 6 | operation find count = 19
Melokuhle Hendricks | operation insert count 8 | operation find count = 17
Lubanzi Modise | operation insert count 7 | operation find count = 23
Iminathi Abrahams | operation insert count 7 | operation find count = 11
Ayabonga Chauke | operation insert count 6 | operation find count = 17
Kungawo Molefe | operation insert count 6 | operation find count = 25
Aphelele Ndlovu | operation insert count 6 | operation find count = 15
Thato Mthembu | operation insert count 7 | operation find count = 19
Emihle Radebe | operation insert count 6 | operation find count = 17
Ofentse Gumede | operation insert count 8 | operation find count = 9
Omolemo Nkosi | operation insert count 6 | operation find count = 13
Melokuhle Motloung | operation insert count 7 | operation find count = 9
Omolemo Madikizela | operation insert count 7 | operation find count = 23
Olothando Petersen | operation insert count 6 | operation find count = 11
Ofentse Mokoena | operation insert count 6 | operation find count = 17
Bonolo Abrahams | operation insert count 7 | operation find count = 15
Isabella Peter | operation insert count 7 | operation find count = 17
Ofentse Mokoena | operation insert count 13 | operation find count = 19
Asemahle Mkhize | operation insert count 7 | operation find count = 7
Luke Nkuna | operation insert count 7 | operation find count = 19
Likuwe Mahlangu | operation insert count 7 | operation find count = 15
Kungawo Mthembu | operation insert count 7 | operation find count = 13
Letlotlo Chauke | operation insert count 7 | operation find count = 15
Onthatile Maseko | operation insert count 7 | operation find count = 15
Luthando Mogale | operation insert count 7 | operation find count = 23
Oratilwe Tshabalala | operation insert count 7 | operation find count = 21
Relebohile Gumede | operation insert count 8 | operation find count = 21
Ofentse Nkuna | operation insert count 8 | operation find count = 15
Lethokuhle Ndou | operation insert count 7 | operation find count = 17
Othalive Mnisi | operation insert count 7 | operation find count = 9
Alunamda Shabangu | operation insert count 6 | operation find count = 21
Amogelang Visagie | operation insert count 7 | operation find count = 17
Amohelang Davids | operation insert count 8 | operation find count = 9
Noah Williams | operation insert count 6 | operation find count = 25
Lethokuhle Witbooi | operation insert count 6 | operation find count = 17
Ayabonga Mosia | operation insert count 7 | operation find count = 13
Amohelang Ngobeni | operation insert count 7 | operation find count = 15
Bayanda Maseko | operation insert count 7 | operation find count = 19
Sphesihle Nhlapo | operation insert count 8 | operation find count = 19
Oratilwe Tsotetsi | operation insert count 7 | operation find count = 13
Oratilwe Jack | operation insert count 8 | operation find count = 19
Lwandle Mohlala | operation insert count 7 | operation find count = 21
Lethabo Buthelezi | operation insert count 7 | operation find count = 17
Oratile Madikizela | operation insert count 8 | operation find count = 15
Kungawo Motloung | operation insert count 7 | operation find count = 19
Naledi Nkuna | operation insert count 7 | operation find count = 17
Reneilwe Mkhize | operation insert count 6 | operation find count = 21
Warona Moloi | operation insert count 6 | operation find count = 25
Siphosethu Hendricks | operation insert count 8 | operation find count = 17
Amohelang Cloete | operation insert count 7 | operation find count = 13
Iminathi Chauke | operation insert count 7 | operation find count = 13
Katlego Mahlangu | operation insert count 7 | operation find count = 11
Khayone Beukes | operation insert count 7 | operation find count = 17
Warona Klaas | operation insert count 6 | operation find count = 23
Lwandle Louw | operation insert count 7 | operation find count = 21
Blessing Louw | operation insert count 8 | operation find count = 15
Relebohile Radebe | operation insert count 6 | operation find count = 11
Joshua Mnisi | operation insert count 6 | operation find count = 13
Leah Booysen | operation insert count 7 | operation find count = 17
Ofentse Cloete | operation insert count 7 | operation find count = 13
Likuwe Williams | operation insert count 7 | operation find count = 11
Relebohile Dyantyi | operation insert count 8 | operation find count = 19
Kamogelo Madikizela | operation insert count 8 | operation find count = 19
Tshegofatso Chauke | operation insert count 11 | operation find count = 11
Melokuhle Booi | operation insert count 8 | operation find count = 23
Bokamoso Adams | operation insert count 9 | operation find count = 17
Aphelele Moloi | operation insert count 6 | operation find count = 13
Philasande Mosia | operation insert count 7 | operation find count = 23
Phenyo Motaung | operation insert count 4 | operation find count = 11
Thato Peter | operation insert count 5 | operation find count = 9
Melokuhle Van | operation insert count 8 | operation find count = 21
Sphesihle Gumede | operation insert count 8 | operation find count = 17
Kamogelo Nkuna | operation insert count 8 | operation find count = 17
Ava Petersen | operation insert count 8 | operation find count = 15
Remofilwe Jack | operation insert count 10 | operation find count = 17
Faith Nhlapo | operation insert count 8 | operation find count = 17
Kungawo Nkosi | operation insert count 8 | operation find count = 17
Kamogelo Booi | operation insert count 8 | operation find count = 9
Lingomso Booysen | operation insert count 7 | operation find count = 17
Mpho Chauke | operation insert count 11 | operation find count = 21
Bokamoso Chauke | operation insert count 8 | operation find count = 23
Bokang Ndou | operation insert count 7 | operation find count = 25
Rorisang Witbooi | operation insert count 12 | operation find count = 21
Lesedi Khumalo | operation insert count 9 | operation find count = 23
Omolemo Baloyi | operation insert count 8 | operation find count = 19
Phenyo Maluleke | operation insert count 7 | operation find count = 15
Tshegofatso Daniels | operation insert count 8 | operation find count = 15
Amahle Beukes | operation insert count 8 | operation find count = 17
Mia Mkhize | operation insert count 7 | operation find count = 17
Oratilwe Davids | operation insert count 8 | operation find count = 17
Khayone Sithole | operation insert count 8 | operation find count = 9
Melokuhle Radebe | operation insert count 7 | operation find count = 15
Kamogelo Williams | operation insert count 10 | operation find count = 17
Katleho Gumede | operation insert count 8 | operation find count = 13
Tshegofatso Buthelezi | operation insert count 8 | operation find count = 15
Omolemo Mahlangu | operation insert count 12 | operation find count = 21
Katlego Ndou | operation insert count 8 | operation find count = 19
Lingomso Dlamini | operation insert count 8 | operation find count = 9
Ayabonga Maluleke | operation insert count 7 | operation find count = 21
Isabella Motaung | operation insert count 7 | operation find count = 13
Tshegofatso Jack | operation insert count 9 | operation find count = 15
Omaatla Malatji | operation insert count 12 | operation find count = 21
Elijah Booysen | operation insert count 7 | operation find count = 11
Oratilwe Booysen | operation insert count 8 | operation find count = 17
Emihle Ndlovu | operation insert count 7 | operation find count = 19
Karabo Modise | operation insert count 8 | operation find count = 15
Bokamoso Mathebula | operation insert count 7 | operation find count = 23
Iminathi Mogale | operation insert count 8 | operation find count = 23
Remofilwe Moloi | operation insert count 8 | operation find count = 21
Letlotlo Mkhize | operation insert count 7 | operation find count = 19
Kungawo Cloete | operation insert count 8 | operation find count = 15
Tshegofatso Visagie | operation insert count 7 | operation find count = 15
Lesedi Tshabalala | operation insert count 10 | operation find count = 17
Onthatile Maluleke | operation insert count 8 | operation find count = 23
Phenyo Khumalo | operation insert count 9 | operation find count = 15
Lethabo Daniels | operation insert count 8 | operation find count = 15
Lesedi Mofokeng | operation insert count 8 | operation find count = 19
Lesedi Louw | operation insert count 8 | operation find count = 11
Emihle Williams | operation insert count 11 | operation find count = 19
Letlotlo Madikizela | operation insert count 9 | operation find count = 17
Jayden Tsotetsi | operation insert count 8 | operation find count = 17
Ava Witbooi | operation insert count 7 | operation find count = 25
Joshua Mokoena | operation insert count 7 | operation find count = 13
Lingomso Daniels | operation insert count 9 | operation find count = 11
Lingomso Nkosi | operation insert count 8 | operation find count = 21
Melokuhle Dyantyi | operation insert count 9 | operation find count = 15
Enzokuhle Ngwenya | operation insert count 8 | operation find count = 23
Likuwe Mofokeng | operation insert count 8 | operation find count = 11
Okuhle Maseko | operation insert count 7 | operation find count = 19
Reatlegile Booi | operation insert count 8 | operation find count = 19
Onthatile Van | operation insert count 7 | operation find count = 17
Esihle Davids | operation insert count 8 | operation find count = 19
Kamohelo Ndou | operation insert count 9 | operation find count = 21
Relebohile Madikizela | operation insert count 8 | operation find count = 19
Olothando Dlamini | operation insert count 8 | operation find count = 13
Omphile Modise | operation insert count 13 | operation find count = 21
Tshegofatso Dyantyi | operation insert count 8 | operation find count = 13
Lwandle Moeng | operation insert count 7 | operation find count = 15
Hlelokuhle Daniels | operation insert count 9 | operation find count = 13
Luthando Smith | operation insert count 7 | operation find count = 11
Amogelang Petersen | operation insert count 8 | operation find count = 21
Luphawu Booysen | operation insert count 8 | operation find count = 15
Aphelele Ngwenya | operation insert count 8 | operation find count = 11
Leano Ndlovu | operation insert count 8 | operation find count = 19
Ofentse Mohlala | operation insert count 7 | operation find count = 21
Lingomso Khoza | operation insert count 9 | operation find count = 13
Emihle Van | operation insert count 7 | operation find count = 17
Lethabo Mokoena | operation insert count 8 | operation find count = 25
Bokang Nkosi | operation insert count 8 | operation find count = 19
Hlelokuhle Jacobs | operation insert count 9 | operation find count = 19
Othalive Mthembu | operation insert count 10 | operation find count = 17
Kamohelo Baloyi | operation insert count 8 | operation find count = 17
Asemahle Dlamini | operation insert count 7 | operation find count = 11
Esihle Tsotetsi | operation insert count 8 | operation find count = 21
Onthatile Sithole | operation insert count 7 | operation find count = 19
Melokuhle Ndou | operation insert count 11 | operation find count = 21
Banele Gumede | operation insert count 9 | operation find count = 11
Enzokuhle Tshabalala | operation insert count 7 | operation find count = 11
Kamogelo Smith | operation insert count 8 | operation find count = 13
Onthatile Radebe | operation insert count 8 | operation find count = 21
Siyabonga Hendricks | operation insert count 9 | operation find count = 19
Reatlegile Baloyi | operation insert count 9 | operation find count = 15
Bokamoso Gumede | operation insert count 10 | operation find count = 17
Onthatile Motaung | operation insert count 8 | operation find count = 19
Ofentse Booi | operation insert count 9 | operation find count = 15
Lethabo Mudau | operation insert count 8 | operation find count = 19
Lingomso Mofokeng | operation insert count 9 | operation find count = 23
Amogelang Dlamini | operation insert count 8 | operation find count = 19
Elijah Mthembu | operation insert count 8 | operation find count = 19
Bokang Daniels | operation insert count 10 | operation find count = 21
Ayabonga Daniels | operation insert count 10 | operation find count = 15
Reatlegile Modise | operation insert count 9 | operation find count = 21
Katlego Moloi | operation insert count 8 | operation find count = 17
Luthando Ndlovu | operation insert count 8 | operation find count = 13
Luphawu Jacobs | operation insert count 10 | operation find count = 11
Rorisang Williams | operation insert count 8 | operation find count = 19
Emihle Jacobs | operation insert count 10 | operation find count = 21
Bayanda Visagie | operation insert count 7 | operation find count = 23
Mia Hendricks | operation insert count 9 | operation find count = 19
Lethokuhle Mnisi | operation insert count 7 | operation find count = 17
Enzokuhle Booi | operation insert count 9 | operation find count = 13
Warona Khumalo | operation insert count 9 | operation find count = 23
Amogelang Adams | operation insert count 9 | operation find count = 17
Leah Smith | operation insert count 8 | operation find count = 19
Liam Ngcobo | operation insert count 9 | operation find count = 19
Liam Mohlala | operation insert count 12 | operation find count = 23
Lethabo Tsotetsi | operation insert count 8 | operation find count = 15
Onthatile Smith | operation insert count 8 | operation find count = 19
Warona Van | operation insert count 7 | operation find count = 19
Asemahle Jack | operation insert count 10 | operation find count = 13
Relebohile Tsotetsi | operation insert count 8 | operation find count = 21
Bayanda Tsotetsi | operation insert count 8 | operation find count = 21
Ofentse Davids | operation insert count 9 | operation find count = 11
Luthando Ngwenya | operation insert count 7 | operation find count = 15
Liam Moeng | operation insert count 8 | operation find count = 21
Olothando Ngobeni | operation insert count 9 | operation find count = 21
Omaatla Visagie | operation insert count 12 | operation find count = 21
Iminathi Shabangu | operation insert count 8 | operation find count = 13
Remofilwe Khoza | operation insert count 8 | operation find count = 17
Lethokuhle Van | operation insert count 8 | operation find count = 11
Remofilwe Chauke | operation insert count 8 | operation find count = 17
Hlelokuhle Sithole | operation insert count 9 | operation find count = 23
Esihle Madikizela | operation insert count 10 | operation find count = 13
Lethabo Smith | operation insert count 13 | operation find count = 19
Omaatla Motaung | operation insert count 8 | operation find count = 17
Reatlegile Shabangu | operation insert count 9 | operation find count = 19
Esihle Mofokeng | operation insert count 8 | operation find count = 21
Siphesihle Maseko | operation insert count 7 | operation find count = 19
Bokang Petersen | operation insert count 13 | operation find count = 19
Khayone Williams | operation insert count 8 | operation find count = 15
Melokuhle Nhlapo | operation insert count 11 | operation find count = 17
Amogelang Ngcobo | operation insert count 9 | operation find count = 17
Kamogelo Madikizela | operation insert count 9 | operation find count = 23
Okuhle Khumalo | operation insert count 8 | operation find count = 21
Lingomso Dlamini | operation insert count 12 | operation find count = 17
Bokang Louw | operation insert count 10 | operation find count = 19
Lesedi Visagie | operation insert count 7 | operation find count = 21
Reneilwe Mkhize | operation insert count 8 | operation find count = 17
Esihle Davids | operation insert count 8 | operation find count = 19
Kamogelo Tsotetsi | operation insert count 8 | operation find count = 21
Lethabo Mahlangu | operation insert count 8 | operation find count = 19
Lethabo Ndou | operation insert count 8 | operation find count = 25
Lesedi Gumede | operation insert count 9 | operation find count = 15
Katlego Witbooi | operation insert count 8 | operation find count = 13
Alunamda Mogale | operation insert count 9 | operation find count = 13
Noah Daniels | operation insert count 10 | operation find count = 19
Lwandle Mofokeng | operation insert count 9 | operation find count = 19
Letlotlo Chauke | operation insert count 7 | operation find count = 15
Melokuhle Ndou | operation insert count 9 | operation find count = 23
Blessing Gumede | operation insert count 10 | operation find count = 21
Omphile Louw | operation insert count 10 | operation find count = 15
Melokuhle Hendricks | operation insert count 8 | operation find count = 17
Siphesihle Buthelezi | operation insert count 10 | operation find count = 21
Enzokuhle Motloung | operation insert count 8 | operation find count = 23
Emihle Ndlovu | operation insert count 7 | operation find count = 19
Kamohelo Baloyi | operation insert count 8 | operation find count = 17
Faith Nhlapo | operation insert count 8 | operation find count = 17
Kamohelo Daniels | operation insert count 8 | operation find count = 19
Leah Mathebula | operation insert count 7 | operation find count = 21
Bayanda Moeng | operation insert count 10 | operation find count = 19
Amahle Ndlovu | operation insert count 8 | operation find count = 21
Amohelang Molefe | operation insert count 9 | operation find count = 17
Lesedi Williams | operation insert count 9 | operation find count = 23
Angel Klaas | operation insert count 8 | operation find count = 15
Lubanzi Klaas | operation insert count 9 | operation find count = 17
Philasande Daniels | operation insert count 9 | operation find count = 13
Phenyo Adams | operation insert count 9 | operation find count = 19
Bokamoso Williams | operation insert count 8 | operation find count = 23
Lubanzi Ndlovu | operation insert count 9 | operation find count = 23
Lisakhanya Malatji | operation insert count 9 | operation find count = 11
Siphesihle Modise | operation insert count 9 | operation find count = 15
Luke Motloung | operation insert count 7 | operation find count = 23
Banele Baloyi | operation insert count 9 | operation find count = 11
Lingomso Jacobs | operation insert count 7 | operation find count = 19
Othalive Beukes | operation insert count 9 | operation find count = 17
Kamogelo Dlamini | operation insert count 8 | operation find count = 17
Lethokuhle Nkuna | operation insert count 12 | operation find count = 21
Likuwe Tshabalala | operation insert count 7 | operation find count = 21
Likuwe Mnisi | operation insert count 9 | operation find count = 19
Lebogang Williams | operation insert count 9 | operation find count = 17
Lethokuhle Mudau | operation insert count 10 | operation find count = 21
Lisakhanya Witbooi | operation insert count 8 | operation find count = 19
Lubanzi Mohlala | operation insert count 8 | operation find count = 19
Alwande Ndou | operation insert count 9 | operation find count = 23
Luke Witbooi | operation insert count 9 | operation find count = 15
Relebohile Tsotetsi | operation insert count 8 | operation find count = 23
Okuhle Maluleke | operation insert count 9 | operation find count = 19
Lwandle Daniels | operation insert count 9 | operation find count = 19
Lethokuhle Visagie | operation insert count 8 | operation find count = 19
Amogelang Ngcobo | operation insert count 9 | operation find count = 25
Joshua Madikizela | operation insert count 9 | operation find count = 23
Banele Mofokeng | operation insert count 10 | operation find count = 17
Phenyo Mosia | operation insert count 9 | operation find count = 15
Luthando Ngobeni | operation insert count 9 | operation find count = 25
Karabo Witbooi | operation insert count 11 | operation find count = 23
Leah Davids | operation insert count 8 | operation find count = 19
Relebohile Shabangu | operation insert count 9 | operation find count = 23
Lesedi Ndou | operation insert count 9 | operation find count = 25
Bokamoso Dlamini | operation insert count 9 | operation find count = 17
Relebohile Nkosi | operation insert count 8 | operation find count = 21
Tshegofatso Witbooi | operation insert count 9 | operation find count = 21
Enzokuhle Mofokeng | operation insert count 10 | operation find count = 15
Thato Malatji | operation insert count 9 | operation find count = 17
Thato Mnisi | operation insert count 9 | operation find count = 15
Asemahle Maluleke | operation insert count 9 | operation find count = 23
Joshua Motaung | operation insert count 11 | operation find count = 19
Onthatile Davids | operation insert count 9 | operation find count = 19
Oratilwe Smith | operation insert count 9 | operation find count = 17
Esihle Ngobeni | operation insert count 10 | operation find count = 17
Bandile Cloete | operation insert count 10 | operation find count = 17
Warona Sithole | operation insert count 8 | operation find count = 13
Bokamoso Adams | operation insert count 9 | operation find count = 17
