Katleho Mofokeng | operation insert count 0 | operation find count = 1
Lubanzi Dlamini | operation insert count 10 | operation find count = 17
Onthatile Nkuna | operation insert count 1 | operation find count = 7
Onthatile Modise | operation insert count 2 | operation find count = 15
Angel Tshabalala | operation insert count 2 | operation find count = 13
Melokuhle Madikizela | operation insert count 3 | operation find count = 9
Amogelang Dyantyi | operation insert count 3 | operation find count = 3
Rethabile Mogale | operation insert count 2 | operation find count = 15
Thandolwethu Motaung | operation insert count 3 | operation find count = 3
Okuhle Mogale | operation insert count 3 | operation find count = 13
Blessing Klaas | operation insert count 4 | operation find count = 5
Kamogelo Ndlovu | operation insert count 4 | operation find count = 13
Amohelang Khumalo | operation insert count 4 | operation find count = 9
Siyabonga Mohlala | operation insert count 3 | operation find count = 7
Onthatile Baloyi | operation insert count 4 | operation find count = 9
Mpho Chauke | operation insert count 5 | operation find count = 5
Lwandle Mokoena | operation insert count 4 | operation find count = 9
Ofentse Radebe | operation insert count 4 | operation find count = 5
Minenhle Jacobs | operation insert count 4 | operation find count = 15
Iminathi Daniels | operation insert count 5 | operation find count = 7
Asemahle Moloi | operation insert count 5 | operation find count = 15
Blessing Mokoena | operation insert count 5 | operation find count = 15
Bonolo Mogale | operation insert count 5 | operation find count = 11
Asemahle Ngobeni | operation insert count 4 | operation find count = 15
Letlotlo Madikizela | operation insert count 4 | operation find count = 15
Leah Molefe | operation insert count 7 | operation find count = 11
Lisakhanya Davids | operation insert count 5 | operation find count = 13
Lisakhanya Mohlala | operation insert count 5 | operation find count = 11
Ayabonga Booysen | operation insert count 4 | operation find count = 9
Thato Jacobs | operation insert count 5 | operation find count = 11
Amohelang Petersen | operation insert count 5 | operation find count = 9
Reneilwe Petersen | operation insert count 5 | operation find count = 11
Nkosenhle Molefe | operation insert count 6 | operation find count = 5
Amahle Motaung | operation insert count 6 | operation find count = 11
Lubanzi Tsotetsi | operation insert count 5 | operation find count = 13
Thato Khumalo | operation insert count 5 | operation find count = 11
Ava Radebe | operation insert count 6 | operation find count = 17
Onthatile Dyantyi | operation insert count 5 | operation find count = 11
Okuhle Buthelezi | operation insert count 5 | operation find count = 13
Mpho Madikizela | operation insert count 5 | operation find count = 19
Bonolo Smith | operation insert count 5 | operation find count = 11
Katlego Van | operation insert count 6 | operation find count = 7
Likuwe Sithole | operation insert count 5 | operation find count = 17
Thato Motaung | operation insert count 6 | operation find count = 17
Asemahle Mohlala | operation insert count 6 | operation find count = 9
